{[-4, 4]1},{[-5, 3]1},{[2, 12]1},{[5, 15]1},{[7, 17]1},{[10, 20]1},{[10, 20]1},{[12, 23]1},{[10, 20]1},{[5, 15]1},{[1, 10]1},{[-1, 4]1}
{[6, 12]1},{[6, 12]1},{[8, 16]1},{[11, 19]1},{[16, 25]1},{[19, 29]1},{[22, 32]1},{[22, 32]1},{[19, 28]1},{[16, 23]1},{[11, 18]1},{[8, 14]1}
{[13, 19]1},{[14, 19]1},{[17, 23]1},{[21, 27]1},{[25, 32]1},{[28, 34]1},{[29, 36]1},{[30, 36]1},{[28, 34]1},{[24, 31]1},{[20, 26]1},{[15, 21]1}
{[19, 28]1},{[19, 28]1},{[22, 30]1},{[24, 32]1},{[27, 33]1},{[26, 32]1},{[25, 30]1},{[25, 30]1},{[24, 30]1},{[24, 32]1},{[23, 32]1},{[20, 30]1}
{[8, 20]1},{[9, 22]1},{[11, 25]1},{[14, 29]1},{[17, 33]1},{[20, 35]1},{[22, 36]1},{[22, 35]1},{[20, 33]1},{[18, 31]1},{[14, 26]1},{[10, 20]1}
{[13, 27]1},{[16, 29]1},{[21, 34]1},{[24, 36]1},{[26, 36]1},{[26, 33]1},{[26, 32]1},{[26, 32]1},{[26, 32]1},{[24, 32]1},{[18, 29]1},{[13, 26]1}
{[22, 30]1},{[22, 30]1},{[23, 31]1},{[24, 31]1},{[25, 31]1},{[25, 30]1},{[25, 29]1},{[25, 29]1},{[25, 30]1},{[24, 29]1},{[23, 29]1},{[22, 30]1}
{[-2, 2]1},{[-3, 2]1},{[-1, 5]1},{[3, 10]1},{[8, 16]1},{[11, 20]1},{[14, 22]1},{[14, 21]1},{[11, 18]1},{[7, 12]1},{[3, 7]1},{[1, 4]1}
{[13, 23]1},{[14, 24]1},{[17, 28]1},{[19, 31]1},{[22, 34]1},{[25, 36]1},{[28, 39]1},{[28, 39]1},{[25, 37]1},{[21, 34]1},{[17, 30]1},{[14, 26]1}
{[-10, 9]1},{[-8, 10]1},{[-4, 17]1},{[0, 24]1},{[3, 27]1},{[7, 30]1},{[8, 32]1},{[8, 31]1},{[5, 27]1},{[0, 22]1},{[-3, 14]1},{[-8, 10]1}
{[-3, 5]1},{[-6, 6]1},{[3, 9]1},{[7, 13]1},{[10, 17]1},{[15, 17]1},{[16, 24]1},{[16, 23]1},{[11, 19]1},{[6, 13]1},{[3, 8]1},{[-2, 6]1}
